3	-50	48	136	6
-44	27	-9	137	5
-11	6	66	138	11
47	30	-6	139	5
8	-90	-9	140	-1
17	-90	-15	141	-1
-11	-93	-15	142	-1
17	-48	-9	143	7
38	-73	13	144	7
8	-72	9	145	7
-8	-80	5	146	7
-27	-79	16	147	7
19	-66	1	148	7
-23	-90	15	149	7
26	-60	-9	150	7
-14	-72	-9	151	7
-17	-68	3	152	7
41	-78	-12	153	7
-44	-75	-12	154	7
-14	-90	27	155	7
14	-87	33	156	7
27	-77	23	157	7
19	-85	-4	158	7
14	-77	28	159	7
-15	-53	-2	160	7
40	-66	-8	161	7
23	-87	21	162	7
5	-72	21	163	7
-40	-73	-2	164	7
25	-79	-16	165	7
-16	-77	30	166	7
-3	-81	18	167	7
-38	-87	-9	168	7
35	-84	11	169	7
6	-81	4	170	7
-25	-89	0	171	7
-31	-78	-15	172	7
35	-81	0	173	7
-43	-2	45	174	8
45	19	30	175	8
-45	7	24	176	8
-51	-50	39	177	8
-23	6	63	178	8
56	-54	-12	179	8
23	39	-9	180	8
32	48	-6	181	8
-20	36	-15	182	-1
-16	-75	-25	183	-1
17	-79	-34	184	-1
34	-67	-33	185	-1
44	5	35	186	8
-40	2	33	187	8
-41	33	24	188	8
36	37	20	189	8
46	-45	44	190	8
-28	-59	44	191	8
41	-55	45	192	8
29	9	57	193	8
35	-66	38	194	8
-41	-56	41	195	8
37	13	42	196	8
-33	49	9	197	8
-40	40	2	198	8
31	-55	42	199	8
41	43	4	200	8
-41	20	31	201	8
-4	21	46	202	8
9	-41	48	203	9
52	-47	36	204	9
39	-5	48	205	9
29	27	30	206	9
45	17	14	207	9
-34	16	3	208	9
34	17	7	209	9
35	27	3	210	9
32	12	-3	211	9
-11	21	27	212	9
-2	10	45	213	9
-27	46	25	214	9
-1	25	30	215	9
4	18	39	216	9
9	17	30	217	9
29	49	20	218	9
24	43	31	219	9
-38	45	21	220	9
1	-27	30	221	6
6	-26	1	222	10
-2	-16	13	223	10
-10	-21	8	224	10
11	-20	9	225	10
-5	-30	-3	226	10
-21	4	-2	227	10
-15	0	10	228	10
29	-17	4	229	10
22	6	5	230	10
27	-3	7	231	10
-30	-14	1	232	10
14	1	10	233	10
8	-7	8	234	10
51	-45	22	235	11
-54	-51	8	236	11
-53	-41	12	237	11
49	-35	9	238	11
49	-31	-2	239	11
53	-48	12	240	11
50	27	6	241	11
-47	21	2	242	11
-15	-65	-20	243	13
-30	-55	-25	244	13
22	-58	-22	245	13
1	-62	-18	246	13
32	-15	-30	247	-1
-29	-12	-33	248	-1
47	-6	-33	249	-1
-47	-9	-36	250	-1
8	-63	57	251	12
-50	-63	3	252	12
-44	-51	-21	253	-1
44	-48	-15	254	-1
44	-33	48	255	1
20	-66	45	256	12
44	-60	4	257	12
23	-60	57	258	12
-32	-48	44	259	12
-26	-71	33	260	12
-32	-5	53	261	12
-40	-60	-10	262	12
-17	-60	60	263	12
26	-9	54	264	12
-43	14	29	265	8
